GEOID,heatrisk_class,Tree Canopy Class
06037215101,0,0
06037215101,0,1
06037214700,0,2
06037214700,0,1
06037214700,0,2
06037214503,0,2
06037214503,0,3
06037214503,0,3
06037214503,0,3
06037700802,1,2
06037700802,1,1
06037214800,0,2
06037214800,0,1
06037214800,0,0
06037214501,0,3
06037214501,0,1
06037214501,0,3
06037214600,0,1
06037214600,0,1
06037214600,0,1
06037214902,0,0
06037214902,0,1
06037211201,0,1
06037211201,0,0
06037214000,0,2
06037214000,0,0
06037214000,0,1
06037214000,0,1
06037214100,0,3
06037214100,0,2
06037214100,0,2
06037214100,0,2
06037192300,0,3
06037192300,0,2
06037192300,0,2
06037192410,0,0
06037192410,0,2
06037192410,0,2
06037192410,0,2
06037192420,1,1
06037192420,1,0
06037192510,1,0
06037192510,1,0
06037192520,1,0
06037192520,1,0
06037191902,0,2
06037191902,0,2
06037192001,0,1
06037192001,0,2
06037214400,0,0
06037214400,0,0
06037214400,0,0
06037194500,0,2
06037194500,0,2
06037700700,0,4
06037700700,0,3
06037700700,0,4
06037700400,1,2
06037700400,1,3
06037700400,1,2
06037700400,1,2
06037192002,0,2
06037192002,0,2
06037192002,0,2
06037194401,0,2
06037194401,0,2
06037194402,0,2
06037194402,0,2
06037194402,0,1
06037700501,0,1
06037700501,0,1
06037700102,1,1
06037700102,1,2
06037700102,1,1
06037208720,1,1
06037208720,1,1
06037208302,1,1
06037208302,1,0
06037208302,1,1
06037212101,0,0
06037212101,0,0
06037208401,1,0
06037208401,1,0
06037208710,1,1
06037208502,1,1
06037208502,1,1
06037208502,1,1
06037211922,0,0
06037211922,0,0
06037211921,0,0
06037208402,0,1
06037208402,0,1
06037208501,0,1
06037208501,0,1
06037208620,1,1
06037208620,1,1
06037208620,1,0
06037211320,1,0
06037211320,1,0
06037208610,1,0
06037208610,1,1
06037211121,0,1
06037211121,0,1
06037211122,0,1
06037211122,0,0
06037197500,1,1
06037197500,1,2
06037197500,1,3
06037195720,0,1
06037195720,0,1
06037211202,0,1
06037201700,4,1
06037201700,4,1
06037201700,4,1
06037201402,3,1
06037201402,3,1
06037201402,3,0
06037481901,4,1
06037481901,4,1
06037201601,2,1
06037201602,3,1
06037201602,3,0
06037201602,3,2
06037206010,1,1
06037206010,1,0
06037199120,4,1
06037199120,4,1
06037199201,1,1
06037199201,1,0
06037199110,2,1
06037199110,2,3
06037199202,3,2
06037199202,3,2
06037197300,1,3
06037197300,1,3
06037197300,1,2
06037201401,4,1
06037201401,4,1
06037201504,2,2
06037480802,2,0
06037201503,3,1
06037201503,3,1
06037201501,4,2
06037201501,4,1
06037201501,4,1
06037201301,3,2
06037201301,3,1
06037980010,0,3
06037199400,3,0
06037199400,3,2
06037199400,3,1
06037185320,2,0
